Date,Open,High,Low,Close,Adj Close,Volume
2015-08-03,18.059999,18.059999,18.059999,18.059999,13.719458,0
2015-08-04,17.938999,18.353001,17.938999,18.353001,13.942039,100
2015-08-05,18.094,18.094,18.094,18.094,13.745286,0
2015-08-06,18.561001,18.561001,18.561001,18.561001,14.100048,0
2015-08-07,19.205,19.205,19.205,19.205,14.589268,0
2015-08-10,19.580999,19.580999,19.580999,19.580999,14.874901,10
2015-08-11,19.497999,19.497999,19.497999,19.497999,14.811849,0
2015-08-12,19.944,19.944,19.944,19.944,15.150658,0
2015-08-13,19.59,19.76,19.59,19.76,15.01088,1100
2015-08-14,19.101,19.101,19.101,19.101,14.510264,0
2015-08-17,19.344999,19.344999,19.344999,19.344999,14.69562,50
2015-08-18,19.188,19.188,19.188,19.188,14.576353,0
2015-08-19,19.327,19.327,19.327,19.327,14.681947,0
2015-08-20,19.708,19.708,19.708,19.708,14.971376,0
2015-08-21,20.047001,20.341,20.047001,20.341,15.452242,110
2015-08-24,19.549,19.549,19.549,19.549,14.850592,120
2015-08-25,18.301001,18.961,18.301001,18.955999,14.400113,150
2015-08-26,18.611,18.611,18.290001,18.290001,13.89418,100
2015-08-27,18.077,18.077,17.589001,18.016001,13.686034,1995
2015-08-28,17.504999,17.504999,17.25,17.25,13.104134,450
2015-08-31,16.900999,16.900999,16.900999,16.900999,12.839011,0
2015-09-01,17.148001,17.191999,17.148001,17.191999,13.060073,135
2015-09-02,16.544001,16.544001,16.544001,16.544001,12.567814,0
2015-09-03,16.351999,16.351999,16.351999,16.351999,12.421958,0
2015-09-04,16.462999,16.462999,16.462999,16.462999,12.506281,0
2015-09-07,17.666,17.666,17.666,17.666,13.420152,151
2015-09-08,16.952999,16.952999,16.952999,16.952999,12.878513,0
2015-09-09,16.4,16.624001,16.4,16.624001,12.628587,100
2015-09-10,16.622999,16.622999,16.622999,16.622999,12.627826,0
2015-09-11,17.504999,17.504999,17.504999,17.504999,13.297846,50
2015-09-14,16.802999,16.802999,16.802999,16.802999,12.764565,0
2015-09-15,17,17,17,17,12.914218,0
2015-09-16,16.830999,16.830999,16.830999,16.830999,12.785835,0
2015-09-17,16.406,16.406,16.406,16.406,12.46298,0
2015-09-18,16.639999,16.639999,16.639999,16.639999,12.64074,0
2015-09-21,16.611,16.611,16.611,16.611,12.618711,0
2015-09-22,16.931999,16.931999,16.931999,16.931999,12.862561,0
2015-09-23,16.4,16.4,15.894,15.894,12.074035,510
2015-09-24,15.977,15.977,15.977,15.977,12.137087,0
2015-09-25,15.468,15.468,15.468,15.468,11.75042,0
2015-09-28,15.467,15.467,15.467,15.467,11.74966,0
2015-09-29,15.273,15.273,15.254,15.254,11.587852,112
2015-09-30,15.394,15.394,15.394,15.394,11.694204,0
2015-10-01,15.347,15.347,15.347,15.347,11.658501,0
2015-10-02,15.269,15.269,15.269,15.269,11.599247,0
2015-10-05,15.399,15.399,15.399,15.399,11.698003,0
2015-10-06,15.773,15.773,15.773,15.773,11.982115,0
2015-10-07,15.66,15.66,15.66,15.66,11.896275,0
2015-10-08,15.347,15.347,15.347,15.347,11.658501,0
2015-10-09,15.03,15.03,15.03,15.03,11.417688,0
2015-10-12,15.061,15.061,15.061,15.061,11.441237,0
2015-10-13,14.98,14.98,14.98,14.98,11.379705,0
2015-10-14,14.4,14.4,14.4,14.4,10.939102,0
2015-10-15,14.64,14.64,14.64,14.64,11.121421,0
2015-10-16,15.229,15.229,15.229,15.229,11.568861,0
2015-10-19,14.96,14.96,14.943,14.943,11.351598,50
2015-10-20,14.986,14.986,14.986,14.986,11.384263,0
2015-10-21,14.916,14.916,14.916,14.916,11.331087,0
2015-10-22,14.5,14.5,14.5,14.5,11.015068,0
2015-10-23,14.425,14.425,14.425,14.425,10.958094,0
2015-10-26,14.729,15.21,14.729,15.21,11.554427,100
2015-10-27,14.825,14.825,14.825,14.825,11.261958,0
2015-10-28,14.855,14.855,14.855,14.855,11.284748,0
2015-10-29,14.67,14.67,14.67,14.67,11.144211,0
2015-10-30,14.493,14.493,14.493,14.493,11.009751,0
2015-11-02,14.499,14.995,14.499,14.995,11.391101,1617
2015-11-03,14.64,15,14.64,15,11.394899,500
2015-11-04,14.553,14.553,14.553,14.553,11.055331,0
2015-11-05,14.697,14.697,14.697,14.697,11.164721,0
2015-11-06,14.804,14.804,14.804,14.804,11.246005,0
2015-11-09,14.718,14.718,14.718,14.718,11.180675,0
2015-11-10,14.961,14.961,14.961,14.961,11.365272,0
2015-11-11,15.357,15.357,15.357,15.357,11.666098,0
2015-11-12,15.455,15.455,15.455,15.455,11.740544,0
2015-11-13,15.283,15.283,15.283,15.283,11.609882,0
2015-11-16,14.943,14.943,14.943,14.943,11.351598,0
2015-11-17,15.341,15.341,15.341,15.341,11.653943,0
2015-11-18,15.197,15.858,15.197,15.858,12.046686,135
2015-11-19,15.947,15.947,15.947,15.947,12.114297,0
2015-11-20,15.869,15.869,15.869,15.869,12.055043,0
2015-11-23,15.952,15.952,15.952,15.952,12.118094,0
2015-11-24,15.864,15.864,15.864,15.864,12.051245,0
2015-11-25,15.921,15.921,15.921,15.921,12.094545,0
2015-11-26,15.847,15.847,15.847,15.847,12.038331,0
2015-11-27,15.935,16.364,15.935,16.364,12.431075,2
2015-11-30,15.803,15.803,15.732,15.732,11.95097,300
2015-12-01,15.653,15.653,15.653,15.653,11.890956,0
2015-12-02,15.507,15.507,15.507,15.507,11.780046,0
2015-12-03,15.311,15.311,15.311,15.311,11.631153,0
2015-12-04,14.947,14.947,14.947,14.947,11.354636,0
2015-12-07,15.029,15.029,15.029,15.029,11.416929,0
2015-12-08,15.147,15.147,15.147,15.147,11.506569,0
2015-12-09,14.844,14.844,14.844,14.844,11.276392,0
2015-12-10,14.5,14.5,14.5,14.5,11.015068,1000
2015-12-11,14.256,14.256,14.256,14.256,10.829711,0
2015-12-14,14.245,14.245,14.245,14.245,10.821355,0
2015-12-15,14.297,14.297,14.297,14.297,10.860858,0
2015-12-16,14.534,14.534,14.534,14.534,11.040897,0
2015-12-17,14.565,14.565,14.565,14.565,11.064445,0
2015-12-18,15.023,15.023,15.023,15.023,11.412371,0
2015-12-21,14.826,14.826,14.826,14.826,11.262717,0
2015-12-22,15.272,15.272,15.272,15.272,11.601526,0
2015-12-23,15.626,15.626,15.626,15.626,11.870446,0
2015-12-28,15.626,15.945,15.626,15.945,12.112777,200
2015-12-29,15.71,15.71,15.71,15.71,11.934258,0
2015-12-30,15.841,15.841,15.841,15.841,12.033772,0
2016-01-04,15.841,15.841,15.549,15.549,11.811952,0
2016-01-05,14.839,14.839,14.839,14.839,11.272593,0
2016-01-06,14.835,14.835,14.835,14.835,11.269554,0
2016-01-07,14.581,14.581,14.581,14.581,11.076601,0
2016-01-08,14.66,14.66,14.66,14.66,11.136614,0
2016-01-11,14.28,14.28,14.28,14.28,10.847943,0
2016-01-12,14.579,14.579,14.579,14.579,11.075083,0
2016-01-13,14.774,14.774,14.774,14.774,11.223216,0
2016-01-14,14.821,14.821,14.821,14.821,11.25892,0
2016-01-15,14.45,14.45,14.45,14.45,10.977085,0
2016-01-18,14.3,14.3,13.988,13.988,10.626123,500
2016-01-19,13.987,13.987,13.987,13.987,10.625363,0
2016-01-20,14.413,14.413,14.413,14.413,10.948978,0
2016-01-21,14.046,14.046,14.046,14.046,10.670182,0
2016-01-22,14.319,14.319,14.319,14.319,10.87757,0
2016-01-25,14.255,14.255,14.255,14.255,10.828952,0
2016-01-26,14.431,14.431,14.431,14.431,10.962652,0
